ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
MH,,"1890",NZ42483622,CH,S,"51960",442309.458,548668.471,52.0636323749999
MH,,,NZ42483605,CH,S,"53440",442310.266,548638.501,53.6747204999972
MH,,"560",NZ42483505,CH,C,"57240",442311,548556,58.202609375
MH,,"770",NZ42483504,CH,C,"56980",442312,548562,57.807640625
MH,,,NZ42483624,CH,C,"52040",442315.307,548692.191,51.7355475166661
MH,,"4700",NZ42483603,CH,C,"52040",442321.745,548691.209,51.6611312833355
MH,,,NZ42483623,CH,S,"52160",442327.269,548699.473,52.2018054166666
MH,,"1160",NZ42483501,CH,C,"56880",442327.348,548562.277,56.8354325625
MH,,,NZ42483503,CH,C,"56290",442331,548571,56.124171875
CSO,,,NZ42483601,CH,C,"51980",442331.5,548693.5,51.7992333333333
Null,,,NZ42483515,J,C,"56290",442333.112,548572.034,55.9351794999994
MH,,"1000",NZ42483615,CH,C,"54060",442335,548605,53.989921875
MH,,,NZ42483502,CH,C,"55490",442337,548581,55.195734375
Null,,,NZ42483514,J,C,"55490",442338.996,548581.993,55.0162468125
MH,,"980",NZ42483613,CH,C,"53450",442343,548618,52.770484375
MH,,"580",NZ42483612,CH,C,"52890",442348,548625,52.070703125
MH,,"840",NZ42483611,CH,C,"52730",442350,548629,51.724265625
Null,,,NZ42483703,ZZZ,S,"51590",442351.772,548710.728,52.7078986984128
MH,,,NZ42483614,CH,C,"53150",442353,548615,52.313359375
Null,,,NZ42483620,J,C,"52200",442355.341,548636.777,50.960150218749
Null,,,NZ42483621,J,C,"53270",442357.455,548613.238,52.1332988437483
MH,,"1970",NZ42483604,CH,C,"52630",442363.037,548622.686,51.26152253125
MH,,,NZ42483701,CH,C,"51220",442368.546,548709.616,52.5815801269852
MH,,,NZ42484603,CH,C,"50520",442402.161,548682.39,50.9604337333342
MH,,,NZ42484605,CH,S,"50520",442404.387,548683.063,51.0019191166644
MH,,,NZ42484604,CH,S,"45620",442429.172,548654.266,46.7904015000016
MH,,"5900",NZ42484602,CH,C,"45220",442438.653,548651.015,46.7060342499997
MH,,,NZ42485502,CH,C,"44840",442515.335,548575.165,48.1290289772697
MH,,,NZ42485601,CH,C,"52670",442525.392,548655.593,51.5157845999987
Null,,,NZ42485709,CE,C,"53420",442543.756,548713.029,53.6749933822981
Null,,,NZ42483222,J,C,"63150",442381.161,548250.041,63.1673768333337
Null,,,NZ42483225,J,C,"62490",442343.988,548251.587,62.2849267291672
MH,,"770",NZ42484207,CH,C,"63480",442401,548255,63.6388125
MH,,,NZ42483208,CH,C,"63410",442391,548257,63.4180625
MH,,,NZ42483203,CH,C,"62540",442345,548257,62.3295208333333
MH,,,NZ42483211,CH,C,"62490",442331,548259,62.0025208333333
MH,,"910",NZ42483213,CH,C,"62580",442343,548261,62.2968125
MH,,"780",NZ42483212,CH,C,"62530",442332,548264,62.0452708333333
MH,,"690",NZ42484206,CH,C,"63650",442409,548266,63.3675625
MH,,"530",NZ42483204,CH,C,"63690",442398.092,548267.501,63.6036719375002
Null,,,NZ42483226,J,C,"62850",442348.792,548269.785,62.4683439375005
MH,,,NZ42483216,CH,C,"63010",442346,548272,62.4099791666667
MH,,"750",NZ42483214,CH,C,"62940",442336,548275,62.1823333333333
Null,,,NZ42482209,CE,C,"62500",442296.646,548275.08,61.242238375
Null,,,NZ42483227,J,C,"63430",442351.945,548280.415,62.5837714583336
