DateLaid,Material,Diameter,NetworkFun,ReviewAge,ReviewDiam,ReviewMate,ID,length,straightdis,sinuosity
,UPVC,"4""",DISTRIBUTION,"1990","100",UPVC,WTE-282015,44.2521715467956,44.1950321417056,1.00129289203607
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-282009,28.0522450776712,22.1865242433821,1.26438214341026
,UPVC,"4""",DISTRIBUTION,"1990","100",UPVC,WTE-282013,3.95964228075745,3.89611254965542,1.01630592809945
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281996,19.4576040663154,19.4576040663154,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281994,8.12099901490933,8.12099901490933,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281990,5.65957275885084,5.57238997196782,1.01564549274577
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281988,31.2977079192334,31.2971242289009,1.00001864996695
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281992,3.44815892911577,3.44815892911577,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606972,2.7410882875153,2.7410882875153,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281977,61.3935628220656,56.5931938398646,1.08482237273592
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-278390,2.71677253372444,2.71677253372444,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281975,3.54059670110059,3.54059670110059,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606969,2.93310910134721,2.93310910134721,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-278393,88.6685989564866,81.7058058707849,1.08521784971699
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-282067,87.1516411892568,52.9318085842746,1.64648901143251
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281964,39.0923705659035,38.951671722785,1.00361213875799
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-282065,1.95349251339609,1.95349251339609,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281951,56.2263031993636,55.7009644890011,1.00943141138007
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281956,3.78060960692602,3.78060960692602,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281958,13.3284258261407,13.3280471562581,1.00002841150531
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281960,2.62080789071725,2.62080789071725,1
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-606999,2.76635807522628,2.76635807522628,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281962,11.1671942140202,11.1407373633728,1.00237478452139
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-278395,11.2871594743873,11.2871594743873,1
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-282056,2.68239631676497,2.68239631676497,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-278399,45.6916544277774,45.6296768780729,1.00135827281596
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-606997,2.71010940739144,2.71010940739144,1
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-282062,47.9144495291377,39.8727292268259,1.20168472181988
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-282058,28.8549007968523,28.8549007968523,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1993","100",UPVC,WTE-MN1314601,7.49387676706465,7.49387676706465,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-278397,3.45421539570826,3.45421539570826,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281966,24.6406601296494,23.1563450052098,1.06409971539575
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314589,31.4308511217464,29.1456603973718,1.07840586534045
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281986,3.52459529590438,3.52459529590438,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281984,3.49503218872095,3.49503218872095,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281979,169.725605969419,162.425965107152,1.04494134209054
,UNKNOWN,UNKNOWN,PRIVATE,,,,WTE-MN1314532,95.8646770650864,64.7093864056869,1.48146478262173
