UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID,length,straightdis,sinuosity
,,NZ2942P075,NZ2942P081,GRV,,,Z,,,,,C,,STE-S1421127,29.2200225187882,29.2200225187882,1
,,NZ2942P086,NZ2942P087,GRV,,,Z,,,,,S,,STE-S1421133,4.88175183721477,4.88175183721477,1
,,NZ2942P081,NZ2942P082,GRV,,,Z,,,,,C,,STE-S1421128,44.5376784756571,44.5376784756571,1
,"1200",NZ30420303,NZ29429302,GRV,"225",,Z,"1925","150","1.20",,F,,STE-S189693,47.1677421625058,47.1677405861251,1.00000003342074
,"1550",NZ30420304,NZ30420303,GRV,"225",,Z,"1925","150","1.60",,F,,STE-S209468,62.8514413279613,62.8514413279613,1
,,NZ30422806,NZ3042A001,PMP,"200",,CI,,,,01-01-1955,C,,STE-S1442344,157.598823720668,157.590436315136,1.00005322280798
,,NZ3042A001,NZ30423605,PMP,"200",,DI,,,,01-01-1955,C,,STE-S193949,34.0221706373796,32.1018078774548,1.0598210159146
,,NZ29422505,NZ29422527,GRV,"150",,VC,,,,,C,,STE-S1436252,9.1472729268888,9.1472729268888,1
,,NZ29422527,NZ2942P094,GRV,,,Z,,,,,C,,STE-S1436251,33.0527566023609,32.9170456147429,1.00412281798331
,,NZ29425121,NZ29425105,GRV,,,Z,"1935","150","2.00",,C,,STE-S189667,4.52095410288165,4.52095410288165,1
,,NZ29425106,NZ29425120,GRV,,,Z,"1935","150","2.00",,C,,STE-S1406067,5.20690791162918,5.20690791162918,1
,"570",NZ29425122,NZ29426108,GRV,"225",,VC,"1935","225","0.60",,C,,STE-S189682,31.4772140603073,31.4772140603073,1
,,NZ29426116,NZ29425106,GRV,"150",,Z,"1935","150","0.70",,C,,STE-S204593,25.3715749806629,25.3715749806629,1
,,NZ29426103,NZ29425123,GRV,"150",,Z,"1935","100","1.20",,C,,STE-S1406074,54.4332547805663,54.4332547805663,1
"720",,NZ29426102,NZ29426120,GRV,"150",,Z,"1935","150","0.70",,C,,STE-S1406069,16.8316360761987,16.8316360761987,1
"660",,NZ29426101,NZ29426121,GRV,,,Z,"1935","225","0.70",,C,,STE-S1406072,6.41869184491502,6.41869184491502,1
